x,y,z,time_diff
-0.064,5.298,7.36,16
-0.159,4.5,7.349,23
0.232,5.188,9.227,16
0.358,5.224,8.263,23
0.132,4.789,8.315,16
0.23,5.096,8.701,23
-0.35,4.667,7.415,24
-0.509,4.919,6.565,15
-0.393,5.174,8.084,16
-0.238,5.146,7.206,23
-0.755,4.722,8.446,24
-0.269,5.024,9.11,16
-0.278,4.372,6.485,23
-0.224,4.958,8.091,16
-0.505,5.003,8.379,23
-0.24,4.862,8.144,16
-0.278,5.441,8.098,23
-0.031,4.458,9.846,16
-0.386,5.007,7.998,23
-0.305,4.879,9.791,16
-0.352,4.762,8.475,23
0.02,4.66,7.349,16
-0.124,5.498,7.815,23
-0.219,4.42,7.47,16
-0.874,4.643,7.189,23
-0.597,5.657,6.787,16
0.028,4.796,8.079,23
0.373,5.538,8.148,16
0.078,4.95,9.343,23
0.218,6.25,8.408,16
-0.164,4.598,7.522,24
0.501,3.974,6.582,15
0.097,6.069,7.422,24
0.144,5.357,6.299,15
0.33,5.072,8.125,24
-0.05,5.057,7.311,15
0.035,5.343,7.97,24
-0.343,5.607,6.715,15
-0.183,4.734,7.798,24
0.17,5.355,7.608,23
-0.831,4.81,6.582,16
-0.464,5.75,7.727,23
-0.298,5.376,8.848,16
-0.319,4.955,9.11,23
-0.724,5.031,8.046,16
-0.493,5.276,7.149,23
-0.645,5.084,7.77,16
-0.469,5.498,7.989,23
-0.605,4.558,7.637,16
-0.012,5.61,7.382,24
-0.2,5.081,7.125,15
0.156,5.645,9.151,24
-0.193,5.253,9.251,15
-0.897,3.732,8.81,24
0.001,5.098,7.584,15
0.301,5.174,7.208,24
0.649,4.436,6.853,15
0.746,5.112,6.435,24
0.566,6.138,7.07,15
0.228,5.196,7.972,24
0.444,4.946,7.825,15
-0.576,4.831,7.175,24
-0.143,5.51,6.773,16
